,,,
,$\beta$,$t-stat$,$p.value$
$AC_{t+1}$,0.241,6.567,0.000
$SV_{t+1}$,0.550,32.442,0.000
$RET_{t+1}$,-0.131,-3.494,0.166
,$\beta$,$t-stat$,$p.value$
$AC_{t+1}$,0.384,14.342,0.000
$SV_{t+1}$,0.627,40.002,0.000
$RET_{t+1}$,0.000,-0.016,0.562
